"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN","TOBS","WT01"
"USC00085667","MIAMI NWSFO, FL US","2021-01-01","0.0","0.0","26.7","22.2","23.3",
"USC00085667","MIAMI NWSFO, FL US","2021-01-02","0.0","0.0","27.2","23.3","23.3",
"USC00085667","MIAMI NWSFO, FL US","2021-01-03","0.0",,"27.2","18.9","20.0",
"USC00085667","MIAMI NWSFO, FL US","2021-01-04","0.0","0.0","28.9","19.4","20.6",
"USC00085667","MIAMI NWSFO, FL US","2021-01-05","0.0","0.0","22.2","14.4","14.4",
"USC00085667","MIAMI NWSFO, FL US","2021-01-06","0.0","0.0","21.1","12.2","13.3",
"USC00085667","MIAMI NWSFO, FL US","2021-01-07","0.0","0.0","22.8","13.3","13.3",
"USC00085667","MIAMI NWSFO, FL US","2021-01-08","0.0","0.0","25.6","13.3","20.6",
"USC00085667","MIAMI NWSFO, FL US","2021-01-09","0.0","0.0","23.3","13.3","13.9",
"USC00085667","MIAMI NWSFO, FL US","2021-01-10","0.0","0.0","18.9","8.9","8.9",
"USC00085667","MIAMI NWSFO, FL US","2021-01-11","0.0","0.0","20.6","8.9","17.8",
"USC00085667","MIAMI NWSFO, FL US","2021-01-12","0.0","0.0","25.0","17.8","20.0",
"USC00085667","MIAMI NWSFO, FL US","2021-01-13","0.0","0.0","24.4","16.1","16.7",
"USC00085667","MIAMI NWSFO, FL US","2021-01-14","10.9",,"23.9","16.7","17.8",
"USC00085667","MIAMI NWSFO, FL US","2021-01-15","0.3",,"20.0","14.4","17.8",
"USC00085667","MIAMI NWSFO, FL US","2021-01-16","0.0","0.0","23.9","16.1","16.1",
"USC00085667","MIAMI NWSFO, FL US","2021-01-17","0.0","0.0","22.8","12.2","12.2",
"USC00085667","MIAMI NWSFO, FL US","2021-01-18","0.0",,"20.6","12.2","15.6",
"USC00085667","MIAMI NWSFO, FL US","2021-01-19","0.0","0.0","21.1","13.3","13.9",
"USC00085667","MIAMI NWSFO, FL US","2021-01-20","0.0","0.0","23.3","13.9","15.0",
"USC00085667","MIAMI NWSFO, FL US","2021-01-21","0.0","0.0","23.9","13.9","15.0",
"USC00085667","MIAMI NWSFO, FL US","2021-01-22","0.0","0.0","25.0","13.9","15.0",
"USC00085667","MIAMI NWSFO, FL US","2021-01-23","0.0","0.0","26.1","15.0","15.6",
"USC00085667","MIAMI NWSFO, FL US","2021-01-24","0.0","0.0","26.1","15.6","18.3",
"USC00085667","MIAMI NWSFO, FL US","2021-01-25","0.0","0.0","27.2","18.3","20.0",
"USC00085667","MIAMI NWSFO, FL US","2021-01-26","0.0","0.0","26.1","18.9","18.9",
"USC00085667","MIAMI NWSFO, FL US","2021-01-27","0.0","0.0","28.9","18.9","20.0","    1"
"USC00085667","MIAMI NWSFO, FL US","2021-01-28","0.0","0.0","30.0","19.4","22.2",
"USC00085667","MIAMI NWSFO, FL US","2021-01-29","0.0","0.0","23.3","12.8","12.8",
"USC00085667","MIAMI NWSFO, FL US","2021-01-30","0.0","0.0","23.3","12.8","15.0",
"USC00085667","MIAMI NWSFO, FL US","2021-01-31","0.0","0.0","23.3","15.0","20.0",
"USC00085667","MIAMI NWSFO, FL US","2021-02-01","0.0","0.0","25.6","18.9","20.0",
"USC00085667","MIAMI NWSFO, FL US","2021-02-02","2.5",,"23.9","10.6","11.1",
"USC00085667","MIAMI NWSFO, FL US","2021-02-03","0.0","0.0","18.3","9.4","9.4",
"USC00085667","MIAMI NWSFO, FL US","2021-02-04","0.0","0.0","19.4","8.3","8.9",
"USC00085667","MIAMI NWSFO, FL US","2021-02-05","0.0","0.0","23.3","8.9","13.3",
"USC00085667","MIAMI NWSFO, FL US","2021-02-06","0.0","0.0","25.0","13.3","22.8",
"USC00085667","MIAMI NWSFO, FL US","2021-02-07","10.2",,"27.2","22.2","23.9",
"USC00085667","MIAMI NWSFO, FL US","2021-02-08","0.0","0.0","28.9","23.3","23.9",
"USC00085667","MIAMI NWSFO, FL US","2021-02-09","0.0","0.0","29.4","21.7","21.7",
"USC00085667","MIAMI NWSFO, FL US","2021-02-10","0.0","0.0","28.9","21.7","21.7",
"USC00085667","MIAMI NWSFO, FL US","2021-02-11","0.0","0.0","28.3","21.7","22.8",
"USC00085667","MIAMI NWSFO, FL US","2021-02-12","0.0","0.0","27.8","21.7","21.7",
"USC00085667","MIAMI NWSFO, FL US","2021-02-13","0.0","0.0","28.3","21.1","23.9",
